hidden_size,learning_rate,dropout,l2_decay,train_loss,val_loss,train_accuracy,val_accuracy,best_for_width
16,0.0010,0.0000,0.0000,0.7308,0.7931,0.7867,0.7744,True
16,0.0100,0.0000,0.0000,0.8117,0.8898,0.7521,0.7486,False
16,0.0001,0.0000,0.0000,0.9659,0.9911,0.7248,0.7207,False
16,0.0010,0.0000,0.0100,1.0183,1.0290,0.7210,0.7191,False
16,0.0001,0.0000,0.0100,1.1394,1.1505,0.6846,0.6863,False
16,0.0010,0.5000,0.0000,1.1990,1.2280,0.6808,0.6805,False
16,0.0100,0.0000,0.0100,1.1839,1.1979,0.6503,0.6764,False
16,0.0001,0.5000,0.0000,1.3440,1.3580,0.6480,0.6488,False
16,0.0010,0.5000,0.0100,1.6510,1.6602,0.6086,0.6079,False
16,0.0001,0.5000,0.0100,1.6846,1.6933,0.6085,0.6055,False
16,0.0100,0.5000,0.0100,1.7478,1.7539,0.5355,0.5646,False
16,0.0100,0.5000,0.0000,1.5938,1.6205,0.5542,0.5530,False
16,0.1000,0.0000,0.0100,3.0026,3.0051,0.1122,0.2543,False
16,0.1000,0.5000,0.0100,3.1722,3.1716,0.0799,0.1121,False
16,0.1000,0.0000,0.0000,3.2256,3.5735,0.0579,0.0568,False
16,0.1000,0.5000,0.0000,3.2693,3.2693,0.0385,0.0461,False
32,0.0010,0.0000,0.0000,0.4236,0.5269,0.8687,0.8463,True
32,0.0001,0.0000,0.0000,0.6683,0.7057,0.8062,0.7978,False
32,0.0100,0.0000,0.0000,0.6222,0.7712,0.8121,0.7977,False
32,0.0010,0.5000,0.0000,0.8006,0.8397,0.7759,0.7720,False
32,0.0010,0.0000,0.0100,0.8657,0.8737,0.7717,0.7700,False
32,0.0001,0.5000,0.0000,0.9365,0.9541,0.7413,0.7375,False
32,0.0001,0.0000,0.0100,0.9915,1.0027,0.7350,0.7313,False
32,0.0100,0.5000,0.0000,0.9668,1.0235,0.7196,0.7094,False
32,0.0100,0.0000,0.0100,1.0609,1.0733,0.6855,0.6970,False
32,0.0010,0.5000,0.0100,1.2854,1.2950,0.6837,0.6864,False
32,0.0001,0.5000,0.0100,1.3153,1.3244,0.6762,0.6732,False
32,0.0100,0.5000,0.0100,1.5117,1.5213,0.5798,0.6029,False
32,0.1000,0.0000,0.0100,3.1569,3.1620,0.1345,0.2381,False
32,0.1000,0.5000,0.0100,3.2076,3.2077,0.0879,0.1594,False
32,0.1000,0.0000,0.0000,3.2766,3.2768,0.0386,0.0784,False
32,0.1000,0.5000,0.0000,3.2744,3.2744,0.0385,0.0470,False
64,0.0010,0.0000,0.0000,0.2726,0.4449,0.9121,0.8745,True
64,0.0001,0.0000,0.0000,0.4791,0.5263,0.8585,0.8448,False
64,0.0010,0.5000,0.0000,0.5167,0.5779,0.8487,0.8322,False
64,0.0100,0.0000,0.0000,0.4871,0.7245,0.8467,0.8273,False
64,0.0001,0.5000,0.0000,0.6497,0.6735,0.8147,0.8110,False
64,0.0010,0.0000,0.0100,0.8223,0.8341,0.7900,0.7869,False
64,0.0001,0.0000,0.0100,0.8840,0.8967,0.7713,0.7685,False
64,0.0100,0.5000,0.0000,0.7789,0.8667,0.7700,0.7604,False
64,0.0010,0.5000,0.0100,1.0608,1.0694,0.7225,0.7269,False
64,0.0001,0.5000,0.0100,1.0907,1.1024,0.7253,0.7253,False
64,0.0100,0.0000,0.0100,1.0911,1.1064,0.6880,0.7115,False
64,0.0100,0.5000,0.0100,1.4609,1.4673,0.5836,0.6091,False
64,0.1000,0.0000,0.0100,3.0443,3.0473,0.1653,0.2898,False
64,0.1000,0.5000,0.0100,3.1817,3.1748,0.0957,0.1563,False
64,0.1000,0.0000,0.0000,3.2661,3.2661,0.0385,0.0845,False
64,0.1000,0.5000,0.0000,3.2732,3.2736,0.0385,0.0457,False
128,0.0010,0.0000,0.0000,0.1269,0.4226,0.9564,0.8963,True
128,0.0001,0.0000,0.0000,0.3351,0.4000,0.8987,0.8811,False
128,0.0010,0.5000,0.0000,0.3076,0.4074,0.9025,0.8786,False
128,0.0001,0.5000,0.0000,0.4577,0.4927,0.8656,0.8559,False
128,0.0100,0.0000,0.0000,0.4048,0.8420,0.8815,0.8447,False
128,0.0100,0.5000,0.0000,0.6637,0.8206,0.8023,0.7965,False
128,0.0010,0.0000,0.0100,0.8117,0.8214,0.7912,0.7897,False
128,0.0001,0.0000,0.0100,0.8333,0.8439,0.7863,0.7846,False
128,0.0001,0.5000,0.0100,0.9524,0.9629,0.7579,0.7578,False
128,0.0010,0.5000,0.0100,0.9520,0.9595,0.7500,0.7539,False
128,0.0100,0.0000,0.0100,1.0640,1.0703,0.6951,0.7209,False
128,0.0100,0.5000,0.0100,1.5542,1.5586,0.5601,0.6171,False
128,0.1000,0.0000,0.0100,2.5769,2.5715,0.2776,0.2810,False
128,0.1000,0.5000,0.0100,3.6142,3.6233,0.1073,0.1728,False
128,0.1000,0.0000,0.0000,3.2137,3.5581,0.0574,0.0678,False
128,0.1000,0.5000,0.0000,3.2706,3.2704,0.0385,0.0385,False
256,0.0010,0.5000,0.0000,0.1968,0.3336,0.9351,0.9032,True
256,0.0010,0.0000,0.0000,0.0695,0.4918,0.9714,0.9031,True
256,0.0001,0.0000,0.0000,0.2435,0.3316,0.9260,0.8989,False
256,0.0001,0.5000,0.0000,0.3284,0.3795,0.9010,0.8877,False
256,0.0100,0.0000,0.0000,0.3622,0.8938,0.8899,0.8472,False
256,0.0100,0.5000,0.0000,0.6694,0.9408,0.8101,0.8043,False
256,0.0001,0.0000,0.0100,0.8035,0.8141,0.7966,0.7927,False
256,0.0010,0.0000,0.0100,0.8174,0.8282,0.7832,0.7899,False
256,0.0001,0.5000,0.0100,0.8809,0.8915,0.7746,0.7748,False
256,0.0010,0.5000,0.0100,0.9033,0.9115,0.7541,0.7667,False
256,0.0100,0.0000,0.0100,1.0222,1.0341,0.6985,0.7135,False
256,0.0100,0.5000,0.0100,1.4680,1.4730,0.5741,0.6171,False
256,0.1000,0.0000,0.0100,2.8724,2.8748,0.2781,0.2815,False
256,0.1000,0.5000,0.0100,3.2194,3.2398,0.1420,0.1901,False
256,0.1000,0.0000,0.0000,3.2208,3.6017,0.0532,0.0925,False
256,0.1000,0.5000,0.0000,3.2811,3.2810,0.0385,0.0385,False
