Training time: 1489.686868429184 seconds
Final Test Accuracy: 0.9254603916983338
Epoch,Train Loss,Val Accuracy,Test Accuracy
1,0.7144,0.8633,0.8477
2,0.3217,0.8768,0.8614
3,0.2401,0.9118,0.9009
4,0.1703,0.9136,0.9111
5,0.1250,0.9095,0.9053
6,0.1041,0.9106,0.9106
7,0.0704,0.9270,0.9211
8,0.0402,0.9311,0.9258
9,0.0444,0.9311,0.9269
10,0.0244,0.9357,0.9199
11,0.0286,0.9328,0.9144
12,0.0129,0.9375,0.9293
13,0.0244,0.9317,0.9275
14,0.0199,0.9357,0.9240
15,0.0162,0.9299,0.9205
16,0.0190,0.9340,0.9129
17,0.0169,0.9258,0.9132
18,0.0121,0.9346,0.9179
19,0.0109,0.9375,0.9293
20,0.0036,0.9439,0.9336
21,0.0001,0.9439,0.9342
22,0.0001,0.9445,0.9334
23,0.0000,0.9428,0.9336
24,0.0000,0.9439,0.9339
25,0.0000,0.9439,0.9345
26,0.0000,0.9445,0.9336
27,0.0000,0.9451,0.9336
28,0.0000,0.9445,0.9345
29,0.0000,0.9439,0.9351
30,0.0000,0.9439,0.9360
31,0.0000,0.9457,0.9348
32,0.0000,0.9457,0.9342
33,0.0000,0.9433,0.9319
34,0.0000,0.9457,0.9316
35,0.0000,0.9463,0.9325
36,0.0000,0.9457,0.9316
37,0.0000,0.9463,0.9316
38,0.0000,0.9463,0.9319
39,0.0000,0.9463,0.9319
40,0.0000,0.9468,0.9316
41,0.0000,0.9451,0.9310
42,0.0000,0.9474,0.9310
43,0.0000,0.9468,0.9307
44,0.0000,0.9498,0.9316
45,0.0000,0.9474,0.9310
46,0.0000,0.9468,0.9296
47,0.0000,0.9474,0.9301
48,0.0000,0.9498,0.9298
49,0.0000,0.9486,0.9307
50,0.0000,0.9468,0.9304
51,0.0000,0.9457,0.9296
52,0.0000,0.9468,0.9301
53,0.0000,0.9463,0.9301
54,0.0000,0.9445,0.9298
55,0.0000,0.9445,0.9301
56,0.0000,0.9463,0.9296
57,0.0000,0.9457,0.9293
58,0.0000,0.9451,0.9307
59,0.0000,0.9439,0.9293
60,0.0000,0.9433,0.9298
61,0.0000,0.9433,0.9293
62,0.0000,0.9422,0.9293
63,0.0000,0.9445,0.9296
64,0.0000,0.9445,0.9298
65,0.0000,0.9439,0.9290
66,0.0000,0.9422,0.9290
67,0.0000,0.9428,0.9290
68,0.0000,0.9422,0.9284
69,0.0000,0.9428,0.9281
70,0.0000,0.9439,0.9284
71,0.0000,0.9439,0.9284
72,0.0000,0.9433,0.9290
73,0.0000,0.9428,0.9287
74,0.0000,0.9433,0.9284
75,0.0000,0.9428,0.9287
76,0.0000,0.9428,0.9290
77,0.0000,0.9422,0.9287
78,0.0000,0.9428,0.9290
79,0.0000,0.9422,0.9287
80,0.0000,0.9422,0.9287
81,0.0000,0.9422,0.9290
82,0.0000,0.9422,0.9287
83,0.0000,0.9422,0.9290
84,0.0000,0.9422,0.9296
85,0.0000,0.9422,0.9293
86,0.0000,0.9428,0.9287
87,0.0000,0.9422,0.9275
88,0.0000,0.9428,0.9298
89,0.0000,0.9428,0.9287
90,0.0000,0.9422,0.9281
91,0.0000,0.9428,0.9284
92,0.0000,0.9433,0.9287
93,0.0000,0.9422,0.9290
94,0.0000,0.9416,0.9284
95,0.0000,0.9433,0.9287
96,0.0000,0.9422,0.9284
97,0.0000,0.9410,0.9287
98,0.0000,0.9422,0.9287
99,0.0000,0.9410,0.9284
100,0.0000,0.9410,0.9278
101,0.0000,0.9410,0.9269
102,0.0000,0.9398,0.9272
103,0.0000,0.9416,0.9269
104,0.0000,0.9387,0.9266
105,0.0000,0.9410,0.9263
106,0.0000,0.9398,0.9263
107,0.0000,0.9393,0.9258
108,0.0000,0.9398,0.9258
109,0.0000,0.9387,0.9255
110,0.0000,0.9357,0.9240
111,0.0000,0.9340,0.9240
112,0.0000,0.9369,0.9263
113,0.0000,0.9340,0.9258
114,0.0000,0.9340,0.9252
115,0.0000,0.9334,0.9217
116,0.0000,0.9317,0.9237
117,0.0609,0.8464,0.8354
118,0.1179,0.9188,0.9094
119,0.0191,0.9346,0.9220
120,0.0032,0.9357,0.9293
121,0.0003,0.9375,0.9307
122,0.0001,0.9357,0.9313
123,0.0001,0.9387,0.9313
124,0.0001,0.9381,0.9307
125,0.0000,0.9381,0.9301
126,0.0000,0.9369,0.9293
127,0.0000,0.9375,0.9301
128,0.0000,0.9387,0.9319
129,0.0000,0.9410,0.9313
130,0.0000,0.9398,0.9322
131,0.0000,0.9398,0.9310
132,0.0000,0.9393,0.9307
133,0.0000,0.9404,0.9301
134,0.0000,0.9393,0.9307
135,0.0000,0.9387,0.9310
136,0.0000,0.9381,0.9296
137,0.0000,0.9369,0.9293
138,0.0000,0.9375,0.9298
139,0.0000,0.9369,0.9296
140,0.0000,0.9381,0.9293
