Training time: 1409.7807681560516 seconds
Final Test Accuracy: 0.40543700672318034
Epoch,Train Loss,Val Accuracy,Test Accuracy
1,1.7077,0.6606,0.6492
2,1.5725,0.6904,0.6972
3,1.5509,0.7360,0.7243
4,1.5377,0.7401,0.7398
5,1.5244,0.7179,0.7200
6,1.5311,0.7074,0.7086
7,1.5184,0.7629,0.7612
8,1.5206,0.7629,0.7653
9,1.5270,0.7640,0.7670
10,1.4939,0.7675,0.7799
11,1.4906,0.7488,0.7308
12,1.4675,0.7938,0.7892
13,1.4678,0.8032,0.8030
14,1.4622,0.8032,0.7928
15,1.4654,0.8020,0.7922
16,1.4471,0.7950,0.7971
17,1.4696,0.7880,0.7872
18,1.4542,0.8283,0.8194
19,1.4554,0.8160,0.8126
20,1.4555,0.8072,0.8129
21,1.4785,0.7874,0.7945
22,1.4737,0.7926,0.7957
23,1.4635,0.8055,0.8044
24,1.4588,0.8248,0.8112
25,1.4916,0.7687,0.7635
26,1.4653,0.7833,0.7793
27,1.4644,0.8218,0.8091
28,1.4496,0.8166,0.8085
29,1.4590,0.8312,0.8141
30,1.4569,0.7681,0.7746
31,1.4897,0.7874,0.7951
32,1.4633,0.8072,0.8018
33,1.4917,0.8107,0.8103
34,1.4698,0.8096,0.8033
35,1.4791,0.8119,0.8062
36,1.4523,0.8189,0.8123
37,1.4643,0.7634,0.7688
38,1.4668,0.7967,0.7892
39,1.4560,0.7804,0.7778
40,1.4672,0.8143,0.8109
41,1.4459,0.7547,0.7483
42,1.5489,0.7862,0.7869
43,1.4608,0.7991,0.7919
44,1.4554,0.8195,0.8021
45,1.4733,0.7734,0.7664
46,1.4678,0.7681,0.7738
47,1.5020,0.7967,0.7963
48,1.4789,0.7471,0.7381
49,1.4824,0.8049,0.7872
50,1.4697,0.7886,0.7860
51,1.4781,0.8061,0.7995
52,1.5085,0.7652,0.7615
53,1.4810,0.7991,0.7971
54,1.5036,0.7751,0.7743
55,1.4798,0.7815,0.7773
56,1.4944,0.7593,0.7629
57,1.4861,0.7751,0.7755
58,1.4658,0.8125,0.7980
59,1.4962,0.7290,0.7211
60,1.4980,0.7518,0.7518
61,1.4918,0.7891,0.7808
62,1.5014,0.8178,0.8015
63,1.5474,0.7377,0.7343
64,1.5012,0.7850,0.7781
65,1.4901,0.7874,0.7816
66,1.4690,0.7996,0.7951
67,1.4677,0.7967,0.7819
68,1.5719,0.4953,0.4832
69,1.5772,0.7541,0.7439
70,1.5078,0.7424,0.7357
71,1.4943,0.7325,0.7235
72,1.5105,0.7442,0.7346
73,1.5274,0.4527,0.4595
74,1.5503,0.7623,0.7495
75,1.4973,0.8113,0.8012
76,1.4601,0.7681,0.7638
77,1.4865,0.7798,0.7638
78,1.4709,0.7903,0.7898
79,1.4897,0.8008,0.7904
80,1.4659,0.7938,0.7983
81,1.4669,0.8026,0.8085
82,1.4635,0.7985,0.7954
83,1.4899,0.8055,0.8056
84,1.4657,0.7996,0.7989
85,1.4998,0.7518,0.7556
86,1.5154,0.7453,0.7515
87,1.4864,0.7950,0.7846
88,1.4715,0.7880,0.7714
89,1.4709,0.8032,0.7878
90,1.5403,0.7547,0.7308
91,1.5509,0.6752,0.6557
92,1.5409,0.7506,0.7252
93,1.5611,0.7780,0.7726
94,1.4883,0.7278,0.7346
95,1.5653,0.7500,0.7550
96,1.5407,0.6898,0.6823
97,1.6143,0.4988,0.4876
98,1.6966,0.6799,0.6828
99,1.5628,0.7225,0.7159
100,1.5566,0.6863,0.6966
101,1.6120,0.5567,0.5624
102,1.7257,0.5368,0.5504
103,1.7104,0.5625,0.5718
104,1.6495,0.7220,0.7109
105,1.5337,0.7225,0.7252
106,1.5336,0.7336,0.7314
107,1.5537,0.6863,0.6846
108,1.6380,0.6746,0.6691
109,1.5781,0.6121,0.6215
110,1.6228,0.6513,0.6574
111,1.6157,0.7138,0.7015
112,1.5417,0.7331,0.7185
113,1.5847,0.4381,0.4344
114,1.6834,0.7027,0.7045
115,1.5398,0.7383,0.7428
116,1.5313,0.7225,0.7235
117,1.5255,0.7447,0.7433
118,1.4923,0.7780,0.7767
119,1.4943,0.7669,0.7685
120,1.4938,0.7155,0.7208
121,1.5489,0.7150,0.7083
122,1.5759,0.6349,0.6323
123,1.6275,0.6595,0.6592
124,1.6584,0.6040,0.6098
125,1.5953,0.7272,0.7302
126,1.5026,0.7704,0.7711
127,1.5095,0.7325,0.7229
128,1.5028,0.7792,0.7778
129,1.4823,0.7769,0.7723
130,1.5248,0.7155,0.7138
131,1.5596,0.7185,0.7197
132,1.5820,0.6437,0.6472
133,1.5860,0.6682,0.6548
134,1.5531,0.7739,0.7664
135,1.5607,0.6811,0.6852
136,1.5855,0.6811,0.6858
137,1.5846,0.6945,0.6969
138,1.5420,0.7407,0.7507
139,1.5288,0.7477,0.7612
140,1.5300,0.7144,0.7223
141,1.5350,0.7336,0.7372
142,1.5251,0.7278,0.7319
143,1.5900,0.5987,0.5975
144,1.6557,0.6361,0.6355
145,1.6132,0.6647,0.6606
146,1.8275,0.3657,0.3733
147,1.9015,0.3657,0.3733
148,1.9013,0.3657,0.3733
149,1.9012,0.3657,0.3733
150,1.9013,0.3657,0.3733
151,1.9013,0.3657,0.3733
152,1.9014,0.3657,0.3733
153,1.9013,0.3657,0.3733
154,1.9012,0.3657,0.3733
155,1.9012,0.3657,0.3733
156,1.9013,0.3657,0.3733
157,1.9014,0.3657,0.3733
158,1.9013,0.3657,0.3733
159,1.9013,0.3657,0.3733
160,1.9013,0.3657,0.3733
161,1.9014,0.3657,0.3733
162,1.9014,0.3657,0.3733
163,1.9013,0.3657,0.3733
164,1.9012,0.3657,0.3733
165,1.9013,0.3657,0.3733
166,1.9013,0.3657,0.3733
167,1.9007,0.3657,0.3736
168,1.9003,0.3657,0.3739
169,1.8826,0.4089,0.4054
170,1.8674,0.4089,0.4054
171,1.8675,0.4089,0.4054
172,1.8676,0.4089,0.4054
173,1.8676,0.4089,0.4054
174,1.8675,0.4089,0.4054
175,1.8676,0.4089,0.4054
176,1.8675,0.4089,0.4054
177,1.8675,0.4089,0.4054
178,1.8675,0.4089,0.4054
