Training time: 890.3875515460968 seconds
Final Test Accuracy: 0.9470914937152879
Epoch,Train Loss,Val Accuracy,Test Accuracy
1,0.9648,0.7523,0.7311
2,0.4928,0.8551,0.8468
3,0.3929,0.8674,0.8550
4,0.3487,0.8627,0.8582
5,0.3059,0.8995,0.8904
6,0.2703,0.8879,0.8804
7,0.2409,0.9007,0.8898
8,0.2169,0.9112,0.9062
9,0.1931,0.9083,0.9018
10,0.1826,0.9176,0.9103
11,0.1597,0.9293,0.9144
12,0.1349,0.9352,0.9293
13,0.1179,0.9387,0.9296
14,0.0972,0.9270,0.9129
15,0.1039,0.9363,0.9260
16,0.0868,0.9206,0.9100
17,0.0872,0.9387,0.9199
18,0.0646,0.9422,0.9345
19,0.0518,0.9334,0.9293
20,0.0537,0.9416,0.9281
21,0.0433,0.9369,0.9307
22,0.0316,0.9357,0.9234
23,0.0448,0.9398,0.9369
24,0.0366,0.9498,0.9369
25,0.0302,0.9200,0.9155
26,0.0205,0.9410,0.9328
27,0.0064,0.9270,0.9234
28,0.0352,0.9246,0.9255
29,0.0408,0.9463,0.9296
30,0.0142,0.9276,0.9164
31,0.0300,0.9317,0.9222
32,0.0309,0.9322,0.9290
33,0.0332,0.9398,0.9325
34,0.0040,0.9468,0.9392
35,0.0007,0.9515,0.9407
36,0.0003,0.9509,0.9421
37,0.0002,0.9521,0.9427
38,0.0002,0.9521,0.9421
39,0.0001,0.9515,0.9424
40,0.0001,0.9521,0.9418
41,0.0001,0.9527,0.9436
42,0.0001,0.9515,0.9427
43,0.0001,0.9521,0.9418
44,0.0001,0.9509,0.9433
45,0.0001,0.9521,0.9430
46,0.0000,0.9515,0.9433
47,0.0000,0.9515,0.9442
48,0.0000,0.9521,0.9439
49,0.0000,0.9509,0.9442
50,0.0000,0.9498,0.9433
51,0.0000,0.9486,0.9430
52,0.0000,0.9498,0.9442
53,0.0000,0.9498,0.9439
54,0.0000,0.9480,0.9430
55,0.0000,0.9468,0.9436
56,0.0000,0.9486,0.9433
57,0.0000,0.9474,0.9433
58,0.0000,0.9480,0.9436
59,0.0000,0.9468,0.9439
60,0.0000,0.9474,0.9436
61,0.0000,0.9480,0.9439
62,0.0000,0.9463,0.9442
63,0.0000,0.9492,0.9433
64,0.0000,0.9468,0.9439
65,0.0000,0.9468,0.9442
66,0.0000,0.9468,0.9430
67,0.0000,0.9468,0.9439
68,0.0000,0.9468,0.9445
69,0.0000,0.9468,0.9442
70,0.0000,0.9463,0.9442
71,0.0000,0.9457,0.9439
72,0.0000,0.9480,0.9436
73,0.0000,0.9474,0.9445
74,0.0000,0.9451,0.9445
75,0.0000,0.9457,0.9436
76,0.0000,0.9468,0.9436
77,0.0000,0.9468,0.9436
78,0.0000,0.9457,0.9433
79,0.0000,0.9468,0.9442
80,0.0000,0.9463,0.9424
81,0.0000,0.9457,0.9439
82,0.0000,0.9451,0.9445
83,0.0000,0.9457,0.9442
84,0.0000,0.9480,0.9421
85,0.0000,0.9457,0.9442
86,0.0000,0.9451,0.9436
87,0.0000,0.9468,0.9439
88,0.0000,0.9463,0.9442
89,0.0000,0.9468,0.9436
90,0.0000,0.9480,0.9442
91,0.0000,0.9468,0.9439
92,0.0000,0.9457,0.9448
93,0.0000,0.9468,0.9436
94,0.0000,0.9468,0.9442
95,0.0000,0.9451,0.9430
96,0.0000,0.9457,0.9445
97,0.0000,0.9457,0.9448
98,0.0000,0.9451,0.9436
99,0.0000,0.9457,0.9450
100,0.0000,0.9457,0.9442
101,0.0000,0.9463,0.9450
102,0.0000,0.9451,0.9442
103,0.0000,0.9451,0.9442
104,0.0000,0.9468,0.9448
105,0.0000,0.9451,0.9448
106,0.0000,0.9457,0.9450
107,0.0000,0.9445,0.9450
108,0.0000,0.9468,0.9456
109,0.0000,0.9445,0.9450
110,0.0000,0.9451,0.9450
111,0.0000,0.9445,0.9450
112,0.0000,0.9457,0.9456
113,0.0000,0.9468,0.9448
114,0.0000,0.9445,0.9450
115,0.0000,0.9451,0.9445
116,0.0000,0.9451,0.9453
117,0.0000,0.9463,0.9459
118,0.0000,0.9463,0.9462
119,0.0000,0.9457,0.9456
120,0.0000,0.9457,0.9459
121,0.0000,0.9457,0.9453
122,0.0000,0.9468,0.9462
123,0.0000,0.9468,0.9453
124,0.0000,0.9457,0.9462
125,0.0000,0.9463,0.9453
126,0.0000,0.9451,0.9456
127,0.0000,0.9468,0.9456
128,0.0000,0.9457,0.9465
129,0.0000,0.9468,0.9456
130,0.0000,0.9457,0.9453
131,0.0000,0.9463,0.9456
132,0.0000,0.9463,0.9448
133,0.0000,0.9463,0.9453
134,0.0000,0.9457,0.9456
135,0.0000,0.9457,0.9448
136,0.0000,0.9463,0.9453
137,0.0000,0.9457,0.9453
138,0.0000,0.9457,0.9448
139,0.0000,0.9457,0.9442
140,0.0000,0.9457,0.9453
141,0.0000,0.9457,0.9448
142,0.0000,0.9451,0.9445
143,0.0000,0.9457,0.9445
144,0.0000,0.9457,0.9450
145,0.0000,0.9451,0.9439
146,0.0000,0.9451,0.9445
147,0.0000,0.9457,0.9433
148,0.0000,0.9463,0.9427
149,0.0000,0.9451,0.9427
150,0.0000,0.9463,0.9436
151,0.0000,0.9445,0.9427
152,0.0000,0.9457,0.9424
153,0.0000,0.9445,0.9433
154,0.0000,0.9457,0.9424
155,0.2370,0.9369,0.9360
156,0.0319,0.9334,0.9322
157,0.0136,0.9468,0.9410
158,0.0024,0.9428,0.9436
159,0.0037,0.9422,0.9404
160,0.0063,0.9445,0.9386
161,0.0208,0.9340,0.9301
162,0.0189,0.9299,0.9357
163,0.0180,0.9387,0.9377
164,0.0170,0.9322,0.9246
165,0.0257,0.9381,0.9345
166,0.0110,0.9422,0.9336
167,0.0226,0.9375,0.9380
168,0.0018,0.9428,0.9404
169,0.0005,0.9451,0.9465
170,0.0001,0.9463,0.9468
171,0.0001,0.9474,0.9468
172,0.0001,0.9474,0.9468
173,0.0001,0.9486,0.9465
174,0.0000,0.9480,0.9468
175,0.0000,0.9474,0.9468
176,0.0000,0.9474,0.9468
177,0.0000,0.9468,0.9468
178,0.0000,0.9474,0.9465
179,0.0000,0.9474,0.9468
180,0.0000,0.9474,0.9468
181,0.0000,0.9474,0.9474
182,0.0000,0.9474,0.9477
183,0.0000,0.9468,0.9477
184,0.0000,0.9480,0.9474
185,0.0000,0.9474,0.9471
186,0.0000,0.9474,0.9474
187,0.0000,0.9480,0.9474
188,0.0000,0.9474,0.9468
189,0.0000,0.9480,0.9471
190,0.0000,0.9480,0.9477
191,0.0000,0.9474,0.9483
192,0.0000,0.9480,0.9480
193,0.0000,0.9486,0.9468
194,0.0000,0.9480,0.9468
195,0.0000,0.9480,0.9477
196,0.0000,0.9474,0.9465
197,0.0000,0.9474,0.9471
198,0.0000,0.9474,0.9471
199,0.0000,0.9468,0.9468
200,0.0000,0.9474,0.9471
