Training time: 886.5839130878448 seconds
Final Test Accuracy: 0.9304296989184448
Epoch,Train Loss,Val Accuracy,Test Accuracy
1,1.7713,0.6256,0.6320
2,1.6407,0.6454,0.6486
3,1.6208,0.6577,0.6595
4,1.5630,0.7249,0.7249
5,1.5450,0.7155,0.7229
6,1.5390,0.7336,0.7352
7,1.5385,0.7342,0.7349
8,1.5331,0.7360,0.7413
9,1.5319,0.7377,0.7360
10,1.5303,0.7261,0.7258
11,1.5281,0.7348,0.7349
12,1.5236,0.7412,0.7372
13,1.5263,0.7389,0.7413
14,1.5190,0.7652,0.7594
15,1.5022,0.7605,0.7474
16,1.4921,0.7780,0.7743
17,1.4845,0.7891,0.7738
18,1.4822,0.7821,0.7755
19,1.4746,0.7710,0.7664
20,1.4799,0.7909,0.7831
21,1.4681,0.8043,0.7983
22,1.4654,0.7961,0.7948
23,1.4620,0.7921,0.7971
24,1.4548,0.8055,0.8047
25,1.4509,0.8090,0.8077
26,1.4516,0.7950,0.7977
27,1.4489,0.8049,0.8039
28,1.4466,0.8154,0.8120
29,1.4452,0.8143,0.8126
30,1.4400,0.8061,0.8006
31,1.4406,0.8125,0.8074
32,1.4389,0.8078,0.7977
33,1.4349,0.8102,0.8085
34,1.4093,0.8662,0.8644
35,1.3796,0.8703,0.8536
36,1.3755,0.8762,0.8711
37,1.3732,0.8604,0.8606
38,1.3732,0.8680,0.8612
39,1.3734,0.8668,0.8685
40,1.3691,0.8750,0.8728
41,1.3640,0.8680,0.8682
42,1.3638,0.8750,0.8720
43,1.3658,0.8727,0.8682
44,1.3639,0.8732,0.8714
45,1.3627,0.8727,0.8758
46,1.3652,0.8703,0.8673
47,1.3631,0.8768,0.8731
48,1.3604,0.8721,0.8617
49,1.3620,0.8744,0.8708
50,1.3601,0.8779,0.8731
51,1.3599,0.8721,0.8673
52,1.3572,0.8645,0.8550
53,1.3603,0.8744,0.8676
54,1.3605,0.8750,0.8699
55,1.3616,0.8657,0.8644
56,1.3602,0.8762,0.8720
57,1.3559,0.8773,0.8764
58,1.3552,0.8697,0.8661
59,1.3595,0.8744,0.8769
60,1.3604,0.8750,0.8696
61,1.3604,0.8616,0.8559
62,1.3619,0.8762,0.8702
63,1.3591,0.8732,0.8740
64,1.3557,0.8709,0.8731
65,1.3576,0.8768,0.8702
66,1.3557,0.8680,0.8688
67,1.3547,0.8750,0.8673
68,1.3543,0.8803,0.8726
69,1.3566,0.8639,0.8664
70,1.3567,0.8773,0.8699
71,1.3559,0.8697,0.8644
72,1.3609,0.8674,0.8632
73,1.3607,0.8680,0.8667
74,1.3571,0.8721,0.8693
75,1.3594,0.8709,0.8655
76,1.3591,0.8820,0.8711
77,1.3421,0.9071,0.9050
78,1.3303,0.9030,0.8962
79,1.3196,0.9171,0.9085
80,1.3126,0.9136,0.9038
81,1.3145,0.9147,0.9161
82,1.3067,0.9311,0.9120
83,1.3095,0.9276,0.9161
84,1.3049,0.9147,0.9146
85,1.3033,0.9293,0.9284
86,1.3024,0.9206,0.9202
87,1.3012,0.9118,0.9085
88,1.3027,0.9264,0.9164
89,1.2997,0.9334,0.9190
90,1.2951,0.9264,0.9246
91,1.2970,0.9258,0.9138
92,1.2950,0.9252,0.9208
93,1.2974,0.9241,0.9196
94,1.2946,0.9246,0.9234
95,1.2947,0.9241,0.9240
96,1.2954,0.9206,0.9202
97,1.2906,0.9398,0.9372
98,1.2904,0.9229,0.9225
99,1.2912,0.9141,0.9082
100,1.2936,0.9346,0.9319
101,1.2919,0.9223,0.9222
102,1.2947,0.9188,0.9114
103,1.2932,0.9282,0.9228
104,1.2911,0.9246,0.9240
105,1.2920,0.9282,0.9301
106,1.2919,0.9241,0.9211
107,1.2899,0.9276,0.9220
108,1.2950,0.9282,0.9287
109,1.2876,0.9176,0.9246
110,1.2873,0.9369,0.9334
111,1.2921,0.9217,0.9173
112,1.2953,0.9282,0.9246
113,1.2898,0.9317,0.9342
114,1.2897,0.9258,0.9246
115,1.2908,0.9258,0.9237
