Best Hyperparameters: {'learning_rate': 0.0005, 'embedding_dim': 32, 'hidden_dim': 256, 'n_layers': 2, 'dropout': 0.1, 'bidirectional': True, 'n_attention_heads': 2}
Best Validation Spearman: 0.6662
Test Loss: 0.3373
Test Spearman: 0.6661

Epoch,Train Loss,Val Loss,Val Spearman
1,0.5870,0.4427,0.5732
2,0.3948,0.3858,0.6036
3,0.3633,0.3662,0.6217
4,0.3370,0.3519,0.6441
5,0.3174,0.3278,0.6529
6,0.2962,0.3331,0.6538
7,0.2808,0.3287,0.6575
8,0.2669,0.3309,0.6564
9,0.2532,0.3307,0.6600
10,0.2421,0.3493,0.6514
11,0.2324,0.3161,0.6642
12,0.2221,0.3224,0.6612
13,0.2115,0.3201,0.6637
14,0.2052,0.3282,0.6618
15,0.1987,0.3163,0.6630
16,0.1915,0.3303,0.6637
17,0.1849,0.3273,0.6662
18,0.1807,0.3198,0.6636
19,0.1734,0.3260,0.6585
20,0.1692,0.3279,0.6650
