Best Hyperparameters: {'learning_rate': 0.00043594007889544996, 'embedding_dim': 32, 'hidden_dim': 256, 'n_layers': 2, 'dropout': 0.5, 'bidirectional': True}
Best Validation Spearman: 0.6672
Test Loss: 0.3365
Test Spearman: 0.6694

Epoch,Train Loss,Val Loss,Val Spearman
1,0.8666,0.5987,0.4667
2,0.5594,0.4369,0.5543
3,0.4874,0.4161,0.5916
4,0.4540,0.4213,0.6001
5,0.4283,0.3640,0.6138
6,0.4113,0.3707,0.6250
7,0.3964,0.3695,0.6276
8,0.3840,0.3527,0.6294
9,0.3730,0.3515,0.6309
10,0.3643,0.3443,0.6401
11,0.3564,0.3518,0.6469
12,0.3502,0.3458,0.6460
13,0.3482,0.3269,0.6480
14,0.3345,0.3488,0.6500
15,0.3331,0.3423,0.6491
16,0.3275,0.3227,0.6569
17,0.3232,0.3263,0.6546
18,0.3145,0.3499,0.6582
19,0.3135,0.3323,0.6555
20,0.3065,0.3268,0.6580
21,0.3034,0.3315,0.6594
22,0.3002,0.3267,0.6615
23,0.2943,0.3403,0.6608
24,0.2895,0.3327,0.6567
25,0.2870,0.3266,0.6584
26,0.2846,0.3469,0.6595
27,0.2814,0.3251,0.6610
28,0.2769,0.3174,0.6629
29,0.2728,0.3206,0.6622
30,0.2726,0.3231,0.6629
31,0.2686,0.3278,0.6620
32,0.2699,0.3339,0.6616
33,0.2673,0.3191,0.6628
34,0.2626,0.3359,0.6653
35,0.2578,0.3361,0.6575
36,0.2579,0.3255,0.6640
37,0.2553,0.3489,0.6651
38,0.2543,0.3267,0.6616
39,0.2523,0.3184,0.6652
40,0.2489,0.3152,0.6645
41,0.2483,0.3230,0.6655
42,0.2463,0.3157,0.6660
43,0.2444,0.3207,0.6666
44,0.2433,0.3344,0.6653
45,0.2424,0.3199,0.6660
46,0.2431,0.3325,0.6642
47,0.2400,0.3278,0.6632
48,0.2376,0.3293,0.6635
49,0.2373,0.3216,0.6672
50,0.2350,0.3308,0.6648
